filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	6cf4e045-449a-4750-83a3-6e46d154f393	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	301	123.174500	8.643000	6914	TRUE	123.328247	6791	8.489250	2966	10.743369	0.000000	80.614708	10.012108
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	fd67dd10-7712-4431-84d0-103c5168d8ac	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	19	35.178001	11.509500	9207	TRUE	35.201752	9188	11.485750	4356	10.126281	0.000000	84.930267	10.357346
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	afc8dcb7-f0d5-487d-b31c-7533adf6ebcc	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	78	14.995750	2.823750	2259	TRUE	15.054500	2212	2.765000	978	9.496475	0.000000	78.025368	10.875221
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	2d67656e-3581-410a-8809-d7189937f346	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	83	118.161247	2.815500	2252	TRUE	118.217499	2207	2.759250	1040	10.907557	0.000000	83.204048	10.529976
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	a75a1b2f-4bd3-49ba-b4e4-1cc973d5ec69	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	10	96.301750	1.422750	1138	TRUE	96.404251	1056	1.320250	574	9.071975	0.000000	89.245834	11.220459
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	47052ea0-bdb2-4668-add4-64e5d6fdfb04	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	336	64.318001	6.162500	4930	TRUE	64.339249	4913	6.141250	2391	10.652055	0.000000	85.448135	9.839478
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	bee3d3c6-7526-4e51-b2b4-bfb9f3730c72	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	418	18.555250	2.777500	2222	TRUE	18.602751	2184	2.730000	1265	9.624820	0.000000	89.245834	10.357346
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	2f372bec-8817-40f4-bb6c-7b4f9ba066f4	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	358	68.692253	3.370000	2696	TRUE	68.810997	2601	3.251250	1263	10.568753	0.000000	85.966003	10.529976
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	11d269c9-3f34-4eea-85d3-7f3942173ce4	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	184	33.778500	0.640000	512	TRUE	33.834751	467	0.583750	236	10.020426	0.000000	84.757645	9.494232
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	b892f896-af0f-4624-b84b-5567c4e5d94c	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	82	126.942497	1.249750	999	TRUE	127.156250	828	1.036000	404	10.724539	0.000000	89.418457	9.494240
